director,database frequency,idf
Costa-Gavras,2,7.7536
Colin Trevorrow,2,7.7536
Colin Strause,2,7.7536
Claude Chabrol,2,7.7536
Clark Johnson,2,7.7536
Clare Kilner,2,7.7536
Christopher Smith,2,7.7536
Christopher Cain,2,7.7536
Christian Duguay,2,7.7536
Christian Alvart,2,7.7536
Chris Stokes,2,7.7536
Chris Noonan,2,7.7536
Chris Miller,2,7.7536
Chris Koch,2,7.7536
Chris Kentis,2,7.7536
Charles Stone III,2,7.7536
Charles Ferguson,2,7.7536
Carroll Ballard,2,7.7536
Carol Reed,2,7.7536
Camille Delamarre,2,7.7536
Callie Khouri,2,7.7536
C. Jay Cox,2,7.7536
Bruce McCulloch,2,7.7536
Brian Trenchard-Smith,2,7.7536
Brian Koppelman,2,7.7536
Brian Gibson,2,7.7536
Brett Leonard,2,7.7536
Brad Furman,2,7.7536
Bob Saget,2,7.7536
Bob Rafelson,2,7.7536
Bob Odenkirk,2,7.7536
Bob Fosse,2,7.7536
Blake Edwards,2,7.7536
Billy Ray,2,7.7536
Billy Bob Thornton,2,7.7536
Bille August,2,7.7536
Bill Paxton,2,7.7536
Bernardo Bertolucci,2,7.7536
Bennett Miller,2,7.7536
Ben Wheatley,2,7.7536
Ben Falcone,2,7.7536
Ben Affleck,2,7.7536
Bart Freundlich,2,7.7536
Barbet Schroeder,2,7.7536
Ariel Vromen,2,7.7536
Anne Fontaine,2,7.7536
Angela Robinson,2,7.7536
Andrey Konchalovskiy,2,7.7536
Andrew Erwin,2,7.7536
Andrew Dominik,2,7.7536
Andrew Bujalski,2,7.7536
Andrew Bergman,2,7.7536
Allison Anders,2,7.7536
Alan Taylor,2,7.7536
Alan J. Pakula,2,7.7536
Akiva Schaffer,2,7.7536
Akira Kurosawa,2,7.7536
Adam Rifkin,2,7.7536
Étienne Faure,1,8.4468
Éric Tessier,1,8.4468
Émile Gaudreault,1,8.4468
Álex de la Iglesia,1,8.4468
Zak Penn,1,8.4468
Zach Cregger,1,8.4468
Youssef Delara,1,8.4468
Yorgos Lanthimos,1,8.4468
Yarrow Cheney,1,8.4468
