actor,database frequency,idf
Mem Ferda,2,7.7536
Melanie Griffith,2,7.7536
Mehcad Brooks,2,7.7536
Max Minghella,2,7.7536
Maura Tierney,2,7.7536
Matthew Ziff,2,7.7536
Matt Walsh,2,7.7536
Matt Frewer,2,7.7536
Mathieu Amalric,2,7.7536
Mary-Kate Olsen,2,7.7536
Mary Lynn Rajskub,2,7.7536
Martin Kove,2,7.7536
Mark Gatiss,2,7.7536
Mark Duplass,2,7.7536
Margot Kidder,2,7.7536
Mara Wilson,2,7.7536
Mako,2,7.7536
Mackenzie Foy,2,7.7536
Lynn Cohen,2,7.7536
Lupe Ontiveros,2,7.7536
Luke Bracey,2,7.7536
Luis Tosar,2,7.7536
Lochlyn Munro,2,7.7536
Liv Ullmann,2,7.7536
Lisa Ann Walter,2,7.7536
Linnea Quigley,2,7.7536
Lily Tomlin,2,7.7536
Lesley Manville,2,7.7536
Leonard Roberts,2,7.7536
Lena Olin,2,7.7536
Lea Michele,2,7.7536
Lauren Holly,2,7.7536
Laura Harring,2,7.7536
Larry Miller,2,7.7536
Larry David,2,7.7536
Kyra Sedgwick,2,7.7536
Krista Allen,2,7.7536
Kirby Heyborne,2,7.7536
Ki Hong Lee,2,7.7536
Khandi Alexander,2,7.7536
Kevin McNally,2,7.7536
Kevin Corrigan,2,7.7536
Ken Howard,2,7.7536
Keith Carradine,2,7.7536
Keisha Castle-Hughes,2,7.7536
Katy Mixon,2,7.7536
Kathleen Turner,2,7.7536
Katharine Ross,2,7.7536
Katharine Isabelle,2,7.7536
Kath Soucie,2,7.7536
Justin Chon,2,7.7536
Jurnee Smollett-Bell,2,7.7536
Julie Christie,2,7.7536
Julian Richings,2,7.7536
Julian Glover,2,7.7536
Julia Ormond,2,7.7536
Judith Barsi,2,7.7536
Josh Gad,2,7.7536
Josh Charles,2,7.7536
Joseph Gilgun,2,7.7536
Jordi Mollà,2,7.7536
Jordana Brewster,2,7.7536
John de Lancie,2,7.7536
John Heard,2,7.7536
John Cassavetes,2,7.7536
John Belushi,2,7.7536
Joely Richardson,2,7.7536
Joe Morton,2,7.7536
Joaquim de Almeida,2,7.7536
Joan Allen,2,7.7536
Jimmy Fallon,2,7.7536
Jim Parsons,2,7.7536
Jessica Lowndes,2,7.7536
Jesse McCartney,2,7.7536
Jerry Ferrara,2,7.7536
Jeremy Davies,2,7.7536
Jennifer Hudson,2,7.7536
Jennifer Esposito,2,7.7536
Jeffrey Jones,2,7.7536
Jason Priestley,2,7.7536
Jason Mewes,2,7.7536
Janet Leigh,2,7.7536
James D'Arcy,2,7.7536
Jaime King,2,7.7536
Isabelle Huppert,2,7.7536
Isaac Hempstead Wright,2,7.7536
Indira Varma,2,7.7536
Imelda Staunton,2,7.7536
Illeana Douglas,2,7.7536
Ian Ziering,2,7.7536
Hunter Parrish,2,7.7536
Humphrey Bogart,2,7.7536
Hugh M. Hefner,2,7.7536
Hope Davis,2,7.7536
Heather Matarazzo,2,7.7536
Heather Locklear,2,7.7536
Hayley Atwell,2,7.7536
Gunnar Hansen,2,7.7536
Gretchen Mol,2,7.7536
Greg Grunberg,2,7.7536
Ginger Rogers,2,7.7536
Gina Lollobrigida,2,7.7536
Geoff Stults,2,7.7536
Gary Cooper,2,7.7536
Fred Gwynne,2,7.7536
François Cluzet,2,7.7536
Frank Finlay,2,7.7536
Fernanda Montenegro,2,7.7536
Faye Dunaway,2,7.7536
Farrah Fawcett,2,7.7536
Faizon Love,2,7.7536
F. Murray Abraham,2,7.7536
Ezra Miller,2,7.7536
Estella Warren,2,7.7536
