ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
1144;Epic Movie;2007;2.3;93;Jason Friedberg;David Carradine;Adventure|Comedy;chocolate|factory|orphan|student
1145;Epic;2013;6.7;102;Chris Wedge;Josh Hutcherson;Adventure|Animation|Family|Fantasy;father daughter relationship|forest
1146;Equilibrium;2002;7.5;107;Kurt Wimmer;Christian Bale;Action|Drama|Sci-Fi|Thriller;dystopia|law|neo noir
1147;Eragon;2006;5.1;104;Stefen Fangmeier;Djimon Hounsou;Action|Adventure|Family|Fantasy;dragon
1148;Eraserhead;1977;7.4;89;David Lynch;Hal Landon Jr.;Fantasy|Horror|Sci-Fi;apartment|baby|factory|surrealism
1149;Eraser;1996;6.1;115;Chuck Russell;Vanessa Williams;Action|Drama|Mystery|Thriller;witness
1150;Erin Brockovich;2000;7.3;131;Steven Soderbergh;Julia Roberts;Biography|Drama;female protagonist
1151;Ernest & Celestine;2012;7.9;80;Stéphane Aubier;Mackenzie Foy;Animation|Comedy|Crime|Drama|Family;bear|dentist|friendship|mouse|prejudice
1152;Escape Plan;2013;6.7;115;Mikael Håfström;Sylvester Stallone;Action|Crime|Mystery|Sci-Fi|Thriller;cia agent|escape|muslim|prison|ship
1153;Escape from Alcatraz;1979;7.6;112;Don Siegel;Clint Eastwood;Biography|Crime|Drama;escape|island|prison
1154;Escape from L.A.;1996;5.7;101;John Carpenter;Steve Buscemi;Action|Adventure|Sci-Fi|Thriller;escape|island|los angeles california|machismo
1155;Escape from New York;1981;7.2;106;John Carpenter;Donald Pleasence;Action|Sci-Fi;1990s|police|prison|rescue
1156;Escape from Planet Earth;2013;5.9;89;Cal Brunker;Brendan Fraser;Adventure|Animation|Comedy|Family|Sci-Fi;alien|cult film|rescue
1157;Escape from Tomorrow;2013;5.2;90;Randy Moore;Trey Loney;Fantasy|Horror;female nudity|sex scene
1158;Escape from the Planet of the Apes;1971;6.3;98;Don Taylor;Roddy McDowall;Action|Sci-Fi;ape|fear|future|spacecraft|spaceship
1159;Escobar: Paradise Lost;2014;6.6;120;Andrea Di Stefano;Josh Hutcherson;Crime|Drama|Romance|Thriller;colombia|dream|love|surfer|village
1160;Eternal Sunshine of the Spotless Mind;2004;8.3;108;Michel Gondry;Kate Winslet;Drama|Fantasy|Romance|Sci-Fi;memory
1161;Eulogy;2004;6.7;85;Michael Clancy;Zooey Deschanel;Comedy|Drama;dysfunctional family|family relationships|funeral|twin
1162;EuroTrip;2004;6.6;93;Jeff Schaffer;Matt Damon;Comedy;female frontal nudity|male frontal nudity|nudity|public nudity
1163;Evan Almighty;2007;5.4;96;Tom Shadyac;Jimmy Bennett;Comedy|Family|Fantasy;congressman|flood
1164;Eve's Bayou;1997;7.3;109;Kasi Lemmons;Jurnee Smollett-Bell;Drama;doctor|louisiana|secret|title directed by female
1165;Event Horizon;1997;6.7;130;Paul W.S. Anderson;Sean Pertwee;Horror|Sci-Fi|Thriller;space|spaceship
1166;Ever After: A Cinderella Story;1998;7.0;121;Andy Tennant;Anjelica Huston;Comedy|Drama|Romance;fairy tale
1167;Everest;2015;7.1;121;Baltasar Kormákur;Michael Kelly;Adventure|Biography|Drama|History|Sport|Thriller;mountain|snow
1168;Everybody's Fine;2009;7.2;99;Kirk Jones;Robert De Niro;Adventure|Drama;retirement
1169;Everyone Says I Love You;1996;6.8;101;Woody Allen;Natasha Lyonne;Comedy|Musical|Romance;maid|song
1170;Everything Must Go;2010;6.4;97;Dan Rush;Will Ferrell;Comedy|Drama;alcoholic
1171;Everything Put Together;2000;6.6;87;Marc Forster;Radha Mitchell;Drama;group of friends
1172;Everything You Always Wanted to Know About Sex * But Were Afraid to Ask;1972;6.8;88;Woody Allen;Woody Allen;Comedy;queen|written and directed by cast member
1173;Evil Dead II;1987;7.8;37;Sam Raimi;Ted Raimi;Comedy|Fantasy|Horror|Thriller;cabin|demon|woods
1174;Evil Dead;2013;6.5;96;Fede Alvarez;Lou Taylor Pucci;Horror;demon|lesbian kiss
1175;Evita;1996;6.3;135;Alan Parker;Andrea Corr;Biography|Drama|History|Musical;actress|military|politics|singer
1176;Evolution;2015;6.4;81;Lucile Hadzihalilovic;Nissim Renard;Drama|Horror|Mystery|Sci-Fi;boy|nurse|sea
1177;Ex Machina;2015;7.7;108;Alex Garland;Elina Alminas;Drama|Mystery|Sci-Fi|Thriller;artificial intelligence|robot
1178;Exam;2009;6.9;101;Stuart Hazeldine;Colin Salmon;Mystery|Thriller;single set production
1179;Excessive Force;1993;5.1;87;Jon Hess;Burt Young;Action;police|police brutality
1180;Executive Decision;1996;6.4;133;Stuart Baird;Oliver Platt;Action|Adventure|Thriller;bomb|hostage|military|plane|terrorist
1181;Exeter;2015;4.6;91;Marcus Nispel;Ashley Tramonte;Horror|Mystery|Thriller;demon|party|secret|teenager
1182;Exiled;2006;7.3;110;Johnnie To;Simon Yam;Action|Crime|Thriller;baby|friendship
1183;Exit Wounds;2001;5.5;101;Andrzej Bartkowiak;Michael Jai White;Action|Comedy|Crime|Drama|Thriller;drug dealer|drugs|heroin
1184;Exodus: Gods and Kings;2014;6.1;150;Ridley Scott;Christian Bale;Action|Adventure|Drama;egypt
1185;Exorcist II: The Heretic;1977;3.7;118;John Boorman;Linda Blair;Horror;demon|exorcism|priest
1186;Exorcist: The Beginning;2004;5.1;125;Renny Harlin;James D'Arcy;Horror|Mystery|Thriller;church|faith
1187;Exotica;1994;7.2;103;Atom Egoyan;Bruce Greenwood;Drama|Mystery|Romance;bird|cult film|egg|nightclub
1188;Extract;2009;6.2;92;Mike Judge;J.K. Simmons;Comedy|Crime|Romance;hit in the crotch
1189;Extraordinary Measures;2010;6.5;106;Tom Vaughan;Harrison Ford;Drama;cure|disease|imagination|race against time
1190;Extreme Measures;1996;6.1;118;Michael Apted;J.K. Simmons;Crime|Drama|Mystery|Thriller;cartoon on tv|doctor|hospital|nudity
1191;Extreme Movie;2008;3.8;76;Adam Jay Epstein;Rich Ceraulo;Comedy;box office flop|female frontal nudity|sex
1192;Extreme Ops;2002;4.5;93;Christian Duguay;Rufus Sewell;Action|Adventure|Thriller;mountain|terrorist
1193;Extremely Loud & Incredibly Close;2011;6.9;129;Stephen Daldry;Tom Hanks;Adventure|Drama|Mystery;fear|quest
1194;Eye See You;2002;5.3;96;Jim Gillespie;Sylvester Stallone;Crime|Horror|Mystery|Thriller;murder
1195;Eye for an Eye;1996;6.1;101;John Schlesinger;Joe Mantegna;Crime|Drama|Thriller;justice|rape|vigilante
1196;Eye of the Beholder;1999;4.9;109;Stephan Elliott;Jason Priestley;Drama|Mystery|Thriller;femme fatale|new york city
1197;Eye of the Dolphin;2006;5.7;100;Michael D. Sellers;Katharine Ross;Comedy|Drama|Family;dolphin|island|research|tourist
1198;Eyes Wide Shut;1999;7.3;159;Stanley Kubrick;Tom Cruise;Drama|Mystery|Thriller;doctor|party
1199;F.I.S.T.;1978;6.4;145;Norman Jewison;Sylvester Stallone;Drama;1930s|funeral|senator
1200;Face/Off;1997;7.3;138;John Woo;Nicolas Cage;Action|Crime|Sci-Fi|Thriller;prison|terrorist
1201;Facing the Giants;2006;6.7;111;Alex Kendrick;Alex Kendrick;Drama|Sport;christian|coach|faith|football
1202;Factory Girl;2006;6.4;99;George Hickenlooper;Hayden Christensen;Biography|Drama;female nudity|public nudity|singer
1203;Fahrenheit 9/11;2004;7.5;122;Michael Moore;Osama bin Laden;Documentary|Drama|War;interview|iraq|paranoia
1204;Failure to Launch;2006;5.6;95;Tom Dey;Bradley Cooper;Comedy|Romance;friend|secret|slacker
1205;Fair Game;2010;6.8;108;Doug Liman;Naomi Watts;Biography|Drama|Thriller;cia|interview|iraq
1206;Faith Connections;2013;7.0;115;Pan Nalin;Bhole Baba;Biography|Documentary|Drama;faith|orphan
1207;Faith Like Potatoes;2006;6.9;116;Regardt van den Bergh;Sean Cameron Michael;Drama;food
1208;Faithful;1996;5.9;91;Paul Mazursky;Chazz Palminteri;Comedy|Crime|Drama;bathtub|female protagonist|flashback
1209;Fame;2009;5.0;123;Kevin Tancharoen;Kelsey Grammer;Comedy|Drama|Musical|Romance;new york|school|student|teacher
1210;Family Plot;1976;6.8;120;Alfred Hitchcock;Ed Lauter;Comedy|Thriller;actor|diamond|kidnapping|ransom
1211;Fantasia 2000;1999;7.3;74;James Algar;Quincy Jones;Animation|Family|Fantasy|Music;disney|fairy tale|piano
1212;Fantasia;1940;7.8;120;James Algar;Leopold Stokowski;Animation|Family|Fantasy|Music;apprentice|disney|mouse
1213;Fantastic 4: Rise of the Silver Surfer;2007;5.6;92;Tim Story;Chris Evans;Action|Adventure|Sci-Fi|Thriller;space|strong female character|strong female lead
1214;Fantastic Four;2015;4.3;100;Josh Trank;Tim Blake Nelson;Action|Adventure|Sci-Fi;box office flop|critically bashed|teleportation
1215;Fantastic Mr. Fox;2009;7.8;87;Wes Anderson;Bill Murray;Adventure|Animation|Comedy|Crime|Family;farm|farmer
1216;Far from Heaven;2002;7.4;107;Todd Haynes;Dennis Quaid;Drama|Romance;african american|family relationships|therapy
1217;Far from Men;2014;7.3;101;David Oelhoffen;Viggo Mortensen;Drama|War|Western;hostage|teacher
1218;Farce of the Penguins;2006;4.2;80;Bob Saget;Alyson Hannigan;Animation|Comedy;penguin|spoof
1219;Fascination;2004;3.3;103;Klaus Menzel;Adam Garcia;Mystery|Romance|Thriller;death|love|marriage|secret
1220;Fast Five;2011;7.3;132;Justin Lin;Paul Walker;Action|Crime|Thriller;drug lord|drugs|heist|police
1221;Fast Times at Ridgemont High;1982;7.2;90;Amy Heckerling;Jennifer Jason Leigh;Comedy|Drama;california|high school|surfer|teacher
1222;Faster;2010;6.5;98;George Tillman Jr.;Dwayne Johnson;Action|Crime|Drama|Thriller;gun|prison|vengeance
1223;Fat Albert;2004;4.3;93;Joel Zwick;Dania Ramirez;Comedy|Family|Fantasy|Romance;love|party|television
1224;Fat, Sick & Nearly Dead;2010;7.6;97;Joe Cross;Joe Cross;Documentary;food
1225;Fatal Attraction;1987;6.9;119;Adrian Lyne;Fred Gwynne;Drama|Romance|Thriller;new york|new york city
1226;Fateless;2005;7.1;134;Lajos Koltai;Marcell Nagy;Drama|Romance|War;bus|death|jewish
1227;Fear Clinic;2015;5.2;95;Robert Hall;Angelina Armani;Horror;bare breasts|doctor
1228;Fear and Loathing in Las Vegas;1998;7.7;118;Terry Gilliam;Johnny Depp;Adventure|Comedy|Drama;drugs|journalist|lawyer
1229;Feardotcom;2002;3.3;101;William Malone;Natascha McElhone;Crime|Horror|Thriller;tied to a chair
1230;Feast;2005;6.4;95;John Gulager;Krista Allen;Action|Comedy|Horror|Thriller;bar|monster|vomiting
1231;Felicia's Journey;1999;7.0;116;Atom Egoyan;Bob Hoskins;Drama|Thriller;chef|friend
1232;Femme Fatale;2002;6.3;114;Brian De Palma;Peter Coyote;Crime|Drama|Mystery|Thriller;ambassador|identity|suicide|thief
1233;Fetching Cody;2005;6.8;87;David Ray;Nicole Muñoz;Drama|Fantasy|Romance;death|high school|prostitute|suicide|time travel
1234;Fever Pitch;2005;6.2;104;Bobby Farrelly;Jimmy Fallon;Comedy|Drama|Romance|Sport;
1235;Fiddler on the Roof;1971;8.0;181;Norman Jewison;Topol;Drama|Family|Musical|Romance;jewish|tradition
1236;Fido;2006;6.8;93;Andrew Currie;Alexia Fast;Comedy|Drama|Horror|Sci-Fi;neighbor|neighborhood|zombie
1237;Fifty Dead Men Walking;2008;6.9;117;Kari Skogland;Jim Sturgess;Drama|Thriller;1980s|near death experience|title directed by female
1238;Fifty Shades of Black;2016;3.5;92;Michael Tiddes;Fred Willard;Comedy;color in title|parody
1239;Fifty Shades of Grey;2015;4.1;129;Sam Taylor-Johnson;Jennifer Ehle;Drama|Romance;female frontal nudity|female nudity|sex scene
1240;Fight Club;1999;8.8;151;David Fincher;Brad Pitt;Drama;fighting|surprise ending
1241;Fight to the Finish;2016;4.0;94;Warren Sheppard;Jennifer Hale;Action|Romance|Sport;fighting|karate
1242;Fighting Tommy Riley;2004;6.6;109;Eddie O'Flaherty;Don Wallace;Drama|Sport;unrequited love
1243;Final Destination 2;2003;6.2;90;David R. Ellis;Sarah Carter;Horror|Thriller;car accident|death|hospital
1244;Final Destination 3;2006;5.8;86;James Wong;Chelan Simmons;Horror;amusement park|death
1245;Final Destination 5;2011;5.9;92;Steven Quale;Emma Bell;Horror;blood splatter|death
1246;Final Destination;2000;6.7;98;James Wong;Daniel Roebuck;Horror|Thriller;death|explosion|teenager
1247;Final Fantasy: The Spirits Within;2001;6.4;106;Hironobu Sakaguchi;Steve Buscemi;Action|Adventure|Animation|Fantasy|Romance|Sci-Fi;general|military|scientist|soldier
1248;Find Me Guilty;2006;7.1;125;Sidney Lumet;Peter Dinklage;Biography|Comedy|Crime|Drama;court|drugs|judge|mafia|mobster
1249;Finding Forrester;2000;7.3;136;Gus Van Sant;F. Murray Abraham;Drama;basketball|new york|school|writing
1250;Finding Nemo;2003;8.2;100;Andrew Stanton;Alexander Gould;Adventure|Animation|Comedy|Family;shark
1251;Finding Neverland;2004;7.8;101;Marc Forster;Johnny Depp;Biography|Drama|Family;boy|widow
1252;Finishing the Game: The Search for a New Bruce Lee;2007;6.2;84;Justin Lin;Monique Gabriela Curnen;Comedy;karate|satire|spoof
1253;Firefox;1982;5.9;136;Clint Eastwood;Clint Eastwood;Action|Adventure|Thriller;russia
1254;Fireproof;2008;6.5;122;Alex Kendrick;Kirk Cameron;Drama|Romance;christian film|marriage
1255;Firestarter;1984;6.0;114;Mark L. Lester;Heather Locklear;Action|Horror|Sci-Fi|Thriller;captain|experiment|fire|psychic
1256;Firestorm;2013;6.2;118;Alan Yuen;Andy Lau;Action|Crime|Thriller;die hard scenario|shootout
1257;Firewall;2006;5.8;105;Richard Loncraine;Jimmy Bennett;Crime|Thriller;architect|bank|murder
1258;First Blood;1982;7.7;93;Ted Kotcheff;Sylvester Stallone;Action|Adventure|Drama;1980s|colonel|deputy|sheriff
1259;First Knight;1995;5.9;134;Jerry Zucker;Julia Ormond;Action|Adventure|Romance|Thriller;battle|king|knight|marriage
1260;First Love, Last Rites;1997;5.5;94;Jesse Peretz;Robert John Burke;Drama|Romance;panties|sex
1261;Fish Tank;2009;7.3;123;Andrea Arnold;Michael Fassbender;Drama;dancing|suburb
1262;Fiza;2000;6.2;167;Khalid Mohamed;Karisma Kapoor;Drama|Romance;politician|suicide
1263;Flags of Our Fathers;2006;7.1;135;Clint Eastwood;Paul Walker;Drama|History|War;japan|world war two
1264;Flame and Citron;2008;7.3;45;Ole Christian Madsen;Lars Mikkelsen;Drama|History|Thriller|War;nazi
1265;Flash Gordon;1980;6.4;111;Mike Hodges;Brian Blessed;Action|Adventure|Sci-Fi;cult film|emperor
1266;Flash of Genius;2008;7.0;119;Marc Abraham;Dylan Authors;Biography|Drama;genius|professor|university
1267;Flashdance;1983;6.1;95;Adrian Lyne;Michael Nouri;Drama|Music|Romance;dance|dancer|overalls
1268;Flatliners;1990;6.6;115;Joel Schumacher;Julia Roberts;Drama|Horror|Sci-Fi|Thriller;death|medical student|memory|near death experience
1269;Flawless;1999;6.4;112;Joel Schumacher;Robert De Niro;Comedy|Crime|Drama;gay interest|homosexual|neighbor
1270;Fled;1996;5.3;105;Kevin Hooks;Salma Hayek;Action|Adventure|Crime|Drama|Romance;mafia|prison|prisoner
1271;Flicka;2006;6.2;95;Michael Mayer;Alison Lohman;Adventure|Drama|Family;father son relationship|horse|ranch
1272;Flight of the Intruder;1991;5.7;115;John Milius;Rosanna Arquette;Action|Drama|Thriller|War;pilot|vietnam|vietnam war
1273;Flight of the Phoenix;2004;6.1;113;John Moore;Dennis Quaid;Action|Adventure|Drama|Thriller;captain|desert|rescue|stranded|survivor
1274;Flightplan;2005;6.2;98;Robert Schwentke;Erika Christensen;Drama|Mystery|Thriller;captain|flight|flight attendant|plane|search
1275;Flight;2012;7.3;138;Robert Zemeckis;Denzel Washington;Drama|Thriller;flight|flight attendant|lawyer|pilot
1276;Flipped;2010;7.7;90;Rob Reiner;Madeline Carroll;Comedy|Drama|Romance;falling in love|multiple perspectives
1277;Flipper;1996;5.2;95;Alan Shapiro;Paul Hogan;Adventure|Family;dolphin|florida|summer|vomiting
1278;Flirting with Disaster;1996;6.8;92;David O. Russell;Lily Tomlin;Comedy;adoption|mistaken identity|new mexico|overalls
1279;Florence Foster Jenkins;2016;7.1;110;Stephen Frears;Meryl Streep;Biography|Comedy|Drama|Music|Romance;singer|singing
1280;Flubber;1997;5.2;90;Les Mayfield;Robin Williams;Comedy|Family|Sci-Fi;college|professor|wedding
1281;Flushed Away;2006;6.7;85;David Bowers;Hugh Jackman;Adventure|Animation|Comedy|Family;boat|rat
1282;Flyboys;2006;6.6;140;Tony Bill;James Franco;Action|Adventure|Drama|History|Romance|War;american|france|military|pilot|training
1283;Flywheel;2003;6.9;120;Alex Kendrick;Shannen Fields;Drama;baby|christian film|pregnancy
1284;Focus;2015;6.6;105;Glenn Ficarra;Will Smith;Comedy|Crime|Drama|Romance;con artist|deception|rivalry|seduction
1285;Food Chains;2014;7.1;83;Sanjay Rawal;Alma Martinez;Documentary|News;two word title
1286;Food, Inc.;2008;7.9;94;Robert Kenner;Michael Pollan;Documentary;food
1287;Foodfight!;2012;1.7;91;Lawrence Kasanoff;Jerry Stiller;Action|Animation|Comedy|Family|Fantasy;femme fatale|food|supermarket
1288;Fool's Gold;2008;5.6;112;Andy Tennant;Matthew McConaughey;Action|Adventure|Comedy|Romance|Thriller;debt|treasure
1289;Foolish;1999;4.3;84;Dave Meyers;Eddie Griffin;Comedy|Drama;
1290;Footloose;1984;6.5;107;Herbert Ross;Dianne Wiest;Drama|Music|Romance;church|dancing|teenager
1291;For Colored Girls;2010;6.0;133;Tyler Perry;Omari Hardwick;Drama;female protagonist|poem|three word title
1292;For Greater Glory: The True Story of Cristiada;2012;6.6;145;Dean Wright;Santiago Cabrera;Drama|History|War;catholic|mexico|rebellion|soldier
1293;For Love of the Game;1999;6.5;137;Sam Raimi;J.K. Simmons;Drama|Romance|Sport;baseball
1294;For Your Consideration;2006;6.3;86;Christopher Guest;John Michael Higgins;Comedy;actor|internet|publicist
1295;For Your Eyes Only;1981;6.8;127;John Glen;Julian Glover;Action|Adventure|Thriller;agent|british|ship|spy
1296;For a Good Time, Call...;2012;6.0;88;Jamie Travis;James Wolk;Comedy;friend|friendship|gay|sex
1297;Force 10 from Navarone;1978;6.3;126;Guy Hamilton;Harrison Ford;Action|Drama|War;colonel|mission|spy
1298;Forgetting Sarah Marshall;2008;7.2;118;Nicholas Stoller;Mila Kunis;Comedy|Drama|Romance;hawaii|hotel|male full frontal nudity
1299;Formula 51;2001;6.3;93;Ronny Yu;Meat Loaf;Action|Comedy|Crime|Thriller;drug lord|drugs|gangster|organized crime
1300;Forrest Gump;1994;8.8;142;Robert Zemeckis;Tom Hanks;Comedy|Drama;love|vietnam|vietnam war
1301;Fortress;1992;5.9;95;Stuart Gordon;Christopher Lambert;Action|Crime|Sci-Fi|Thriller;escape|future|prison|prisoner
1302;Forty Shades of Blue;2005;6.0;108;Ira Sachs;Rip Torn;Drama|Music|Romance;love|russian
1303;Four Brothers;2005;6.9;109;John Singleton;Josh Charles;Action|Crime|Drama|Mystery|Thriller;bare butt|funeral|murder
1304;Four Christmases;2008;5.6;88;Seth Gordon;Jon Favreau;Comedy|Drama|Romance;airport|christmas
1305;Four Lions;2010;7.3;97;Christopher Morris;Kayvan Novak;Comedy|Crime|Drama;bird|muslim
1306;Four Rooms;1995;6.7;110;Allison Anders;Salma Hayek;Comedy|Fantasy;gangster|hotel|new year's eve
1307;Four Single Fathers;2009;5.1;100;Paolo Monico;Stephanie Szostak;Comedy;number in title
1308;Four Weddings and a Funeral;1994;7.1;117;Mike Newell;Kristin Scott Thomas;Comedy|Drama|Romance;1990s|chick flick|funeral|gay relationship|wedding
1309;Frailty;2001;7.3;100;Bill Paxton;Matthew McConaughey;Crime|Drama|Thriller;demon|fbi|fbi agent|murder
1310;Frances Ha;2012;7.4;86;Noah Baumbach;Greta Gerwig;Comedy|Drama|Romance;best friend|father daughter relationship|female protagonist|mother daughter relationship
1311;Frankenweenie;2012;7.0;87;Tim Burton;Martin Landau;Animation|Comedy|Family|Horror|Sci-Fi;dog|science
1312;Frat Party;2009;2.8;90;Robert Bennett;Randy Wayne;Comedy;sister sister relationship
1313;Freakonomics;2010;6.4;93;Heidi Ewing;Greg Crowe;Documentary;experiment
1314;Freaky Deaky;2012;6.5;90;Charles Matthau;Billy Burke;Comedy|Crime|Thriller;girl in panties
1315;Freaky Friday;2003;6.1;97;Mark Waters;Jamie Lee Curtis;Comedy|Family|Fantasy|Music|Romance;camera shot of feet
1316;Freddy Got Fingered;2001;4.5;87;Tom Green;Rip Torn;Comedy;slacker
1317;Freddy vs. Jason;2003;5.8;97;Ronny Yu;Katharine Isabelle;Action|Horror|Thriller;freddy krueger|jason voorhees|serial killer|slasher
1318;Freddy's Dead: The Final Nightmare;1991;4.9;93;Rachel Talalay;Johnny Depp;Comedy|Fantasy|Horror|Thriller;dream|freddy krueger|nightmare
1319;Free Birds;2013;5.9;91;Jimmy Hayward;Amy Poehler;Adventure|Animation|Comedy|Family;chipmunk|sabotage|thanksgiving
1320;Free State of Jones;2016;6.7;139;Gary Ross;Matthew McConaughey;Action|Biography|Drama|History|War;civil war
1321;Freedom Writers;2007;7.5;123;Richard LaGravenese;Hunter Parrish;Biography|Crime|Drama;high school|marriage|teacher
1322;Freedom;2014;6.2;94;Peter Cousens;Sharon Leal;Drama|Family|Music;19th century|christian film|religion|slave
1323;Freeheld;2015;6.5;103;Peter Sollett;Steve Carell;Biography|Drama|Romance;cancer|lesbian kiss|partner
1324;Freeway;1996;6.9;102;Matthew Bright;Bokeem Woodbine;Comedy|Crime|Drama|Thriller;nightmare|police|school
1325;Freeze Frame;2004;6.4;99;John Simpson;Colin Salmon;Crime|Drama|Thriller;box office flop
1326;Frenzy;1972;7.5;116;Alfred Hitchcock;Bernard Cribbins;Thriller;police|rape|serial killer
1327;Frequency;2000;7.3;118;Gregory Hoblit;Dennis Quaid;Crime|Drama|Mystery|Sci-Fi|Thriller;
