ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
148;A Walk on the Moon;1999;6.6;107;Tony Goldwyn;Viggo Mortensen;Drama;summer|unfaithfulness
149;A Walk to Remember;2002;7.4;101;Adam Shankman;Lauren German;Drama|Romance;love|punishment|school|student
150;A Warrior's Tail;2015;4.1;85;Maksim Fadeev;Konstantin Khabenskiy;Adventure|Animation|Fantasy;battle|creature|monkey|village
151;A Woman, a Gun and a Noodle Shop;2009;5.7;95;Yimou Zhang;Honglei Sun;Comedy|Drama;betrayal|husband wife relationship|murder
152;A.I. Artificial Intelligence;2001;7.1;146;Steven Spielberg;Haley Joel Osment;Adventure|Drama|Sci-Fi;boy|fairy|future|robot
153;ATL;2006;6.0;105;Chris Robinson;T.I.;Comedy|Crime|Drama|Music|Romance;high school|twin
154;AVP: Alien vs. Predator;2004;5.6;109;Paul W.S. Anderson;Sanaa Lathan;Action|Horror|Sci-Fi|Thriller;alien|antarctica|satellite
155;AWOL-72;2015;3.9;82;Christian Sesma;Bokeem Woodbine;Thriller;police officer
156;Abandoned;2015;6.3;86;John Laing;Siobhan Marshall;Drama;boat|one word title|sea|storm|survivor
157;Abandon;2002;4.9;99;Stephen Gaghan;Charlie Hunnam;Drama|Music|Mystery|Romance|Thriller;college|detective|disappearance|police detective
158;Abduction;2011;5.0;106;John Singleton;Ken Arnold;Action|Mystery|Thriller;assassin|high school|on the run|teenager|website
159;Aberdeen;2000;7.3;106;Hans Petter Moland;Charlotte Rampling;Drama;death|lawyer|vomiting
160;About Last Night;2014;6.1;100;Steve Pink;Joe Lo Truglio;Comedy|Romance;boyfriend girlfriend relationship|urban setting
161;About Schmidt;2002;7.2;125;Alexander Payne;Hope Davis;Comedy|Drama;highway travel|on the road|retirement|road movie|wedding
162;About Time;2013;7.8;123;Richard Curtis;Tom Hughes;Drama|Fantasy|Romance;boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding
163;About a Boy;2002;7.1;101;Chris Weitz;Sharon Small;Comedy|Drama|Romance;boy|friend|single mother
164;Abraham Lincoln: Vampire Hunter;2012;5.9;105;Timur Bekmambetov;Rufus Sewell;Action|Fantasy|Horror;vampire|vampire hunter
165;Absentia;2011;5.8;87;Mike Flanagan;Justin Gordon;Drama|Horror|Mystery;tunnel
166;Absolute Power;1997;6.7;121;Clint Eastwood;Clint Eastwood;Action|Crime|Drama|Thriller;death|murder|thief|violence
167;Accidental Love;2015;4.0;100;David O. Russell;Jake Gyllenhaal;Comedy|Romance;waitress|washington d.c.
168;Ace Ventura: Pet Detective;1994;6.9;78;Tom Shadyac;Sean Young;Comedy;detective|dolphin|nudity
169;Ace Ventura: When Nature Calls;1995;6.3;90;Steve Oedekerk;Bruce Spence;Adventure|Comedy;africa|pregnancy|pregnant
170;Across the Universe;2007;7.4;133;Julie Taymor;Jim Sturgess;Drama|Fantasy|Musical|Romance;love|protest|song
171;Act of Valor;2012;6.5;110;Mike McCoy;Alex Veadov;Action|Adventure|Drama|Thriller|War;mission|terrorist|torture
172;Action Jackson;1988;5.2;96;Craig R. Baxley;Bill Duke;Action|Comedy|Crime|Thriller;murder|psychotronic|union
173;Adam Resurrected;2008;6.3;106;Paul Schrader;Veronica Ferres;Drama|War;circus|dog|patient
174;Adam;2009;7.2;99;Max Mayer;Peter Gallagher;Drama|Romance;apartment|children|teacher|writer
175;Adaptation.;2002;7.7;81;Spike Jonze;Nicolas Cage;Comedy|Drama;book|thief|twin
176;Addicted;2014;5.2;106;Bille Woodruff;Boris Kodjoe;Drama|Thriller;adultery|lust|obsession
177;Admission;2013;5.7;107;Paul Weitz;Tina Fey;Comedy|Drama|Romance;adoption|female protagonist|wedding
178;Adore;2013;6.2;112;Anne Fontaine;Robin Wright;Drama|Romance;beach|friend|friendship|neighbor
179;Adulterers;2015;4.9;91;H.M. Coakley;Mehcad Brooks;Crime|Drama|Thriller;female nudity|male nudity|male rear nudity|revenge
180;Adventureland;2009;6.8;107;Greg Mottola;Kristen Stewart;Comedy|Drama|Romance;amusement park|strong female character|teenager
181;After Earth;2013;4.9;100;M. Night Shyamalan;Will Smith;Action|Adventure|Sci-Fi;box office flop|fear|race against time
182;After the Sunset;2004;6.3;97;Brett Ratner;Salma Hayek;Action|Comedy|Crime|Drama;diamond|fbi|fbi agent|island|thief
183;After.Life;2009;5.9;104;Agnieszka Wojtowicz-Vosloo;Liam Neeson;Drama|Horror|Mystery|Thriller;serial killer
